layer,signal,sidecar_metric,exposure_score,hardening_score,phase_or_residual_score,exposure_strength,hardening_strength,phase_or_residual_strength,primary_component,formula_role,evidence_type,reading
core_law,pathway collapse,P ~= X * (1-lambda) * delta,0.9630,0.9770,NA,strong,strong,not_tested,persistence_formation,core_formula,Pearson collapse,"The compact pathway law remains the central result; sidecars should explain components, not replace it."
settlement_morphology,urban-village proximity,persistent_minus_never_within_1000m,0.6298,-0.1575,0.1821,moderate,weak,weak,exposure_location,sidecar_to_X,Spearman city-level bridge,"Urban-village adjacency explains where lower-tail exposure is physically embedded, not the hardening kernel."
settlement_morphology,roof density,persistent_minus_never_roof_count_1000m,0.2842,-0.2956,-0.2107,weak_to_moderate,weak_to_moderate,weak_to_moderate,built_crowding_exposure,sidecar_to_X,Spearman city-level bridge,Roof density confirms a built-crowding layer around lower-tail exposure but weakens against hardening.
settlement_morphology,population exposure,persistent_minus_never_uv_pop_sum_1000m,0.3439,-0.3328,-0.0036,weak_to_moderate,weak_to_moderate,weak,population_exposure_location,sidecar_to_X,Spearman city-level bridge,"Population exposure is elevated around persistent-bottom communities relative to never-bottom, but not a hardening term."
functional_morphology,SinoBF-1 orientation,mirror-index phase law,0.7287,0.6356,0.8153,strong,moderate,strong,phase_orientation,bounded_drift_sidecar,weighted R2 orientation law,Functional morphology rotates district-level housing ordering by city phase.
functional_morphology,dense-hardening selector,selector_dense_hardening,NA,0.7424,0.7611,not_tested,strong,strong,hardening_plane_selector,sidecar_to_H,R2 bridge fit,Dense morphology is the strongest current sidecar for where cities sit on the hardening plane.
static_attributes,lower price,static lower-price gap,0.8872,0.1128,NA,strong,weak,not_tested,exposure_led_static_signature,sidecar_to_X,component share,"Cheapness is mostly formed at exposure entry, with a smaller persistence increment."
static_attributes,newer build,static newer-build gap,0.6742,0.3258,NA,moderate,weak_to_moderate,not_tested,persistence_carrying_static_signature,process_sidecar,component share,Newer-build is the clearest static signature that continues into persistence.
static_attributes,lower plot,static lower-plot gap,1.6750,-0.6750,NA,strong,moderate,not_tested,exposure_with_reversal,sidecar_to_X_not_H,component share,Lower intensity is exposure-led and reverses rather than reinforces during persistence.
static_attributes,lower fee,static lower-fee gap,1.0810,-0.0810,NA,strong,weak,not_tested,exposure_with_reversal,sidecar_to_X_not_H,component share,"Low fee belongs mainly to the exposure layer, not to hardening formation."
residual_phase,mirror residual bridge,mirror_index -> minimal_gap,NA,NA,0.3293,not_tested,not_tested,weak_to_moderate,bounded_residual_direction,residual_sidecar,R2 bridge fit,Mirror phase explains residual direction more than core hardening level.
